conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1973c966-f236-40c9-b2d4-5d71a89019be,skill/competence,transversal,software voor spreadsheets gebruiken,,"Softwaretools gebruiken om tabelgegevens te maken en te bewerken om wiskundige berekeningen uit te voeren, gegevens en informatie te organiseren, diagrammen op basis van gegevens te maken en op te halen.",http://data.europa.eu/esco/skill/5fd5c985-eaaa-47aa-8314-62359c54505a | http://data.europa.eu/esco/skill/S5.5.2,digitale inhoud ontwikkelen | beheren en analyseren van digitale gegevens
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19ba11f3-9c99-41fd-a7c9-f77e6a026186,skill/competence,transversal,werkgerelateerde berekeningen uitvoeren,,Wiskundige problemen oplossen om werkgerelateerde doelen te bereiken.,http://data.europa.eu/esco/skill/S2.6.1 | http://data.europa.eu/esco/skill/b99e9027-8263-4630-a8f2-d7f400b4149e,uitvoeren van berekeningen | rekenvaardigheid/wiskunde
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a4cc54f-1e53-442b-a6d2-1682dc8ef8f9,skill/competence,transversal,creatief gebruikmaken van digitale technologieën,digitale technologieën inzetten voor innovatie | innovatief gebruikmaken van digitale technologieën,Gebruikmaken van tools en technologieën om kennis en innovatieve processen en producten te creëren. Individueel en collectief deelnemen aan cognitieve verwerking om conceptuele problemen en probleemsituaties in digitale omgevingen te begrijpen en op te lossen.,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/S5.6.1,probleemoplossing met ICT-instrumenten en hardware | gebruikmaken van digitale hulpmiddelen voor samenwerking en productiviteit
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d1fedcb-4995-44ac-90f5-f31a157ce512,skill/competence,transversal,omgaan met frustratie,omgaan met ergernissen,Kalm blijven en constructief reageren op eigen woede of de woede van anderen of in geval van obstakels of klachten.,http://data.europa.eu/esco/skill/A1.10.0 | http://data.europa.eu/esco/skill/a90b12b6-248d-487f-be36-c44bd9a032e5,omgaan met frustratie | standpunten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d6c7de4-350e-4868-a47b-333b4b0d9650,skill/competence,transversal,"gegevens, informatie en digitale inhoud evalueren","gegevens, informatie en digitale content evalueren | gegevens, informatie en digitale inhoud beoordelen | gegevens, informatie en digitale content beoordelen","De geloofwaardigheid en betrouwbaarheid van gegevensbronnen, informatie en digitale inhoud analyseren, vergelijken en kritisch beoordelen. De gegevens, informatie en digitale inhoud analyseren, interpreteren en kritisch beoordelen.",http://data.europa.eu/esco/skill/S2.7.0 | http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a,analyseren en evalueren van informatie en gegevens | verwerking van digitale gegevens
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1da808a1-419f-4e7c-b714-8287f1842546,skill/competence,transversal,bedrijfsplan steunen,,Handelen binnen iemands takenpakket om de doelstellingen en visie van de organisatie te bevorderen.,http://data.europa.eu/esco/skill/d4fd1061-eb6a-46d6-9aed-374cb0a80a9a | http://data.europa.eu/esco/skill/S3.3.3,werkomgeving | naleven van juridische en organisatorische richtsnoeren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20ba084f-129c-4c5e-b39f-539913e0acc4,skill/competence,transversal,draagbare apparaten gebruiken,draagbare apparaten bedienen,Digitale apparaten gebruiken die in de hand kunnen worden gehouden en die afgezien van aanraking geen extra invoer vereisen.,http://data.europa.eu/esco/skill/S5.6.1 | http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,gebruikmaken van digitale hulpmiddelen voor samenwerking en productiviteit | probleemoplossing met ICT-instrumenten en hardware
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,knowledge,transversal,computerprogrammering,computers programmeren | programmeertalen | technieken en principes voor softwareontwikkeling | computerprogrammeercode | programmeren,"Technieken en beginselen van softwareontwikkeling, waaronder analyse, algoritmes, coderen, testen en ontwerpen van programmeerparadigma's (bijvoorbeeld objectgeorienteerd programmeren, functioneel programmeren) en programmeertalen.",http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8 | http://data.europa.eu/esco/isced-f/0613,creëren van digitale inhoud | ontwikkeling en analyse van software en toepassingen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/22b7d99d-252f-4572-8e3c-438ea87607eb,skill/competence,transversal,enthousiasme tonen,enthousiast zijn,"Grote inspanningen leveren gedreven door intrinsiek belang of genot, zonder druk van buitenaf.",http://data.europa.eu/esco/skill/A1.7.0 | http://data.europa.eu/esco/skill/a90b12b6-248d-487f-be36-c44bd9a032e5,enthousiasme tonen | standpunten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/234aeb8d-56c3-4531-9193-1c5e6a8d16cb,skill/competence,transversal,presentatiesoftware gebruiken,,"Softwaretools gebruiken om digitale presentaties te creëren waarin verschillende elementen worden gecombineerd, zoals grafieken, afbeeldingen, tekst en andere multimedia.",http://data.europa.eu/esco/skill/5fd5c985-eaaa-47aa-8314-62359c54505a | http://data.europa.eu/esco/skill/S5.6.2,"digitale inhoud ontwikkelen | gebruikmaken van software voor tekstverwerking, publicatie en presentatie"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/236526e2-d5a8-436b-91d1-47e5d431e7ea,skill/competence,transversal,kwaliteitsnormen toepassen,kwaliteitsstandaarden toepassen,"Procedures volgen die fouten bij het maken en leveren van een product, een oplossing of een dienst aan klanten voorkomen.",http://data.europa.eu/esco/skill/d4fd1061-eb6a-46d6-9aed-374cb0a80a9a | http://data.europa.eu/esco/skill/A1.12.2,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/238343b1-7b51-42b3-a9ed-cf24d3a236e7,skill/competence,transversal,digitale vaardigheidskloven herkennen,digitale vaardigheidskloven identificeren | behoeften aan digitale vaardigheden herkennen,Begrijpen op welke vlakken de eigen digitale competentie verbeterd of geactualiseerd moet worden. In staat zijn anderen te ondersteunen bij het ontwikkelen van hun digitale competentie. Zoeken naar mogelijkheden voor zelfontwikkeling en op de hoogte blijven van de digitale evolutie.,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/S2.8.0,"probleemoplossing met ICT-instrumenten en hardware | controleren, inspecteren en testen"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2913deed-2560-4c1b-872c-f83ae6c93021,skill/competence,sector-specific,Yahoo! Search gebruiken,,"Digitale informatie identificeren via de zoekmachine Yahoo!, de relevantie en het doel van die informatie beoordelen. 
 ",http://data.europa.eu/esco/skill/698be2d3-8768-422d-a2d3-1cb701816089 | http://data.europa.eu/esco/skill/S5.5.1,online informatie opzoeken | doorzoeken en filteren van digitale gegevens
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b34a99f-9813-4c91-9509-b6b9b8c3132e,skill/competence,transversal,samenwerken met behulp van digitale technologieën,samenwerken met behulp van digitale technologie | samenwerken via digitale platformen | samenwerken met digitale hulpmiddelen,Digitale hulpmiddelen en technologieën gebruiken voor samenwerking en voor het gezamenlijk ontwikkeling en creëren van middelen en kennis.,http://data.europa.eu/esco/skill/S5.6.1 | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,gebruikmaken van digitale hulpmiddelen voor samenwerking en productiviteit | digitale communicatie en samenwerking
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2e227d5d-649b-48dc-99ca-2389bbc1140f,skill/competence,transversal,gendergelijkheid ondersteunen,gelijke behandeling van man en vrouw ondersteunen,"Streven naar gelijke voordelen voor beide geslachten door de implicaties van alle geplande acties, met inbegrip van wetgeving, beleid of programma's, voor vrouwen en mannen op alle gebieden en op alle niveaus op de werkplek te beoordelen.",http://data.europa.eu/esco/skill/d4fd1061-eb6a-46d6-9aed-374cb0a80a9a | http://data.europa.eu/esco/skill/S3.3.3,werkomgeving | naleven van juridische en organisatorische richtsnoeren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33a82b83-c838-4889-ae62-fae1317481eb,skill/competence,transversal,persoonlijke gegevens en privacy beschermen,,Persoonlijke gegevens en privacy beschermen in digitale omgevingen. Begrijpen hoe persoonlijk identificeerbare informatie te gebruiken en te delen en hoe zichzelf en anderen te beschermen tegen schade. Begrijpen dat digitale diensten gebruikmaken van een ‘privacybeleid’ om mee te delen hoe persoonsgegevens worden gebruikt.,http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/S3.3.6,ICT-veiligheid | beschermen van privacy en persoonsgegevens
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3481d400-2eaa-4ab3-bb06-5f45b4380052,skill/competence,transversal,lichaamstaal gebruiken,,"Lichaamstaal, gebaren en andere paralinguïstische signalen gebruiken en begrijpen.",http://data.europa.eu/esco/skill/L1 | http://data.europa.eu/esco/skill/8f18f987-33e2-4228-9efb-65de25d03330,Talen | sociale interactie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/35ebe444-9ece-4fbc-a55d-e99ea37267ae,skill/competence,transversal,kwaliteit beheren,,"Streven naar uitmuntendheid in processen, producten en activiteiten op de werkplek.",http://data.europa.eu/esco/skill/A1.12.0 | http://data.europa.eu/esco/skill/a90b12b6-248d-487f-be36-c44bd9a032e5,kwaliteit beheren | standpunten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/35f1be97-06c4-4367-a067-7e0e94f2fa70,skill/competence,transversal,besturingssystemen van digitale apparaten gebruiken,besturingssystemen van digitale toestellen gebruiken,Functies en hulpmiddelen gebruiken die door het besturingssysteem worden verstrekt om toegang te krijgen tot bronnen en toepassingen uit te voeren.,http://data.europa.eu/esco/skill/S5.0.0 | http://data.europa.eu/esco/skill/42fcf80d-7b45-40f3-bd2f-5411c4c0dfa0,werken met computers | behoeften identificeren en relevante technologische oplossingen aandragen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/40001d93-8937-4859-89d5-2dca53290ff4,skill/competence,transversal,delen met behulp van digitale technologieën,digitaal delen | delen met behulp van digitale technologie,"Gegevens, informatie en digitale inhoud met anderen delen door middel van passende digitale technologieën. Als tussenpersoon optreden, op de hoogte zijn van de relatering en de toeschrijving van referenties.",http://data.europa.eu/esco/skill/S5.6.1 | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,gebruikmaken van digitale hulpmiddelen voor samenwerking en productiviteit | digitale communicatie en samenwerking
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/429062f1-a958-43ea-83dd-4e1af078c156,skill/competence,transversal,nieuwsgierigheid tonen,nieuwsgierig zijn,"Blijk geven van een levendige belangstelling voor nieuw leven, een open houding ten aanzien van ervaring, het zoeken van onderwerpen en fascinerende zaken, actief zoeken naar en ontdekken van nieuwe gebieden.",http://data.europa.eu/esco/skill/A1.6.0 | http://data.europa.eu/esco/skill/a90b12b6-248d-487f-be36-c44bd9a032e5,nieuwsgierigheid tonen | standpunten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/42fcf80d-7b45-40f3-bd2f-5411c4c0dfa0,skill/competence,transversal,behoeften identificeren en relevante technologische oplossingen aandragen,behoeften en de bijbehorende technologische oplossingen identificeren,"Vaststellen van behoeften en identificeren, beoordelen, selecteren en gebruiken van digitale instrumenten en van eventuele technologische oplossingen om deze op te lossen. Digitale omgevingen instellen en aanpassen aan persoonlijke behoeften (bv. toegankelijkheid).",http://data.europa.eu/esco/skill/S1.9.1 | http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,ontwikkelen van oplossingen | probleemoplossing met ICT-instrumenten en hardware
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4463a721-69f3-413d-8321-43e3af13a4f1,skill/competence,transversal,databases gebruiken,databanken gebruiken,"Softwaretools gebruiken voor het beheer en de organisatie van gegevens in een gestructureerde omgeving die bestaat uit attributen, tabellen en relaties om de opgeslagen gegevens te doorzoeken en te wijzigen.",http://data.europa.eu/esco/skill/S5.5.2 | http://data.europa.eu/esco/skill/4d97e3c3-f335-47cc-a4ee-0d779fd42222,"beheren en analyseren van digitale gegevens | gegevens, informatie en digitale inhoud beheren"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/49de9958-2aa4-4eef-a89d-fe5d5bcd28c4,skill/competence,transversal,zich aan verandering aanpassen,zich aan veranderingen aanpassen,Veranderen van iemands houding of gedrag om aanpassingen op de werkplek mogelijk te maken.,http://data.europa.eu/esco/skill/A1.1.0 | http://data.europa.eu/esco/skill/a90b12b6-248d-487f-be36-c44bd9a032e5,zich aan verandering aanpassen | standpunten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4d97e3c3-f335-47cc-a4ee-0d779fd42222,skill/competence,transversal,"gegevens, informatie en digitale inhoud beheren","gegevens, informatie en digitale content beheren","Gegevens, informatie en inhoud in digitale omgevingen organiseren, opslaan en ophalen. Organiseer en verwerk deze in een gestructureerde omgeving.",http://data.europa.eu/esco/skill/S2.3.0 | http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a,beheren van informatie | verwerking van digitale gegevens
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4e2ce047-1912-468f-8c04-ab7374c4a761,skill/competence,transversal,culturele diversiteit ondersteunen,,Speel een actieve rol om sociale rechtvaardigheid te stimuleren en discriminatie op de werkplek op basis van culturele identiteit te bestrijden.,http://data.europa.eu/esco/skill/d4fd1061-eb6a-46d6-9aed-374cb0a80a9a | http://data.europa.eu/esco/skill/S3.3.3,werkomgeving | naleven van juridische en organisatorische richtsnoeren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/57231a22-4da7-49c8-97b8-75672feadf1e,skill/competence,transversal,kwantitatieve gegevens beheren,kwantitatieve data beheren,"Het verzamelen, verwerken en presenteren van kwantitatieve gegevens.",http://data.europa.eu/esco/skill/b99e9027-8263-4630-a8f2-d7f400b4149e | http://data.europa.eu/esco/skill/S5.5.2,rekenvaardigheid/wiskunde | beheren en analyseren van digitale gegevens
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/580660a6-5d3a-421d-a54f-d85b706c2b2f,skill/competence,transversal,online middelen om samen te werken gebruiken,,"Gebruik van online-hulpmiddelen, zoals online-vergaderinstrumenten, VoIP-conferentiecalls, gelijktijdige bewerking van bestanden, om samen te creëren, inhoud te delen en samen te werken op externe locaties.",http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/S5.6.1,digitale communicatie en samenwerking | gebruikmaken van digitale hulpmiddelen voor samenwerking en productiviteit
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5af49836-2269-46d9-87b9-0d3140c6c22e,skill/competence,transversal,digitale inhoud combineren en verwerken,digitale content combineren en verwerken,"Het wijzigen, verfijnen, verbeteren en integreren van informatie en inhoud in bestaande kennis om nieuwe, originele en relevante inhoud en kennis te creëren.",http://data.europa.eu/esco/skill/S5.6.1 | http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8,gebruikmaken van digitale hulpmiddelen voor samenwerking en productiviteit | creëren van digitale inhoud
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5c59dac1-0547-4068-b43c-ac59f1344448,skill/competence,transversal,goede manieren tonen,goede manieren hebben,"Werk samen met anderen volgens de normale gewoonten en verwachtingen van het hedendaagse sociale gedrag, aangepast aan de context.",http://data.europa.eu/esco/skill/A2.2.0 | http://data.europa.eu/esco/skill/25a26ff6-af18-40b0-b2e2-cb58471015eb,goede manieren tonen | waarden
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5cd1930c-278d-4929-b413-27352f5b3687,skill/competence,transversal,omgaan met onzekerheid,,Wees tolerant en werk op constructieve wijze in onverwachte en onvoorspelbare situaties.,http://data.europa.eu/esco/skill/a90b12b6-248d-487f-be36-c44bd9a032e5 | http://data.europa.eu/esco/skill/A1.5.0,standpunten | omgaan met onzekerheid
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5f1dd9f6-dcb4-4384-88c9-f9f6a75305c9,skill/competence,transversal,online communicatiemiddelen gebruiken,,"Gebruik van digitale instrumenten die verschillende vormen van communicatie via internet mogelijk maken, zoals e-mail, instant messaging, Voice over Internet Protocol, sociale netwerken, met inachtneming van de regels van netiquette en de bescherming van de reputatie en de digitale identiteit.",http://data.europa.eu/esco/skill/S5.6.1 | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,gebruikmaken van digitale hulpmiddelen voor samenwerking en productiviteit | digitale communicatie en samenwerking
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5fd5c985-eaaa-47aa-8314-62359c54505a,skill/competence,transversal,digitale inhoud ontwikkelen,digitale content ontwikkelen,"Digitale inhoud in verschillende formaten creëren en bewerken, met behulp van digitale middelen.",http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8 | http://data.europa.eu/esco/skill/S5.6.1,creëren van digitale inhoud | gebruikmaken van digitale hulpmiddelen voor samenwerking en productiviteit
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/609a8ac1-9d29-4237-9886-596dbbe7ca8a,skill/competence,transversal,publiek toespreken,,"Op een gestructureerde, welbewuste en persoonlijke wijze met een groep van luisteraars praten om deze te informeren, te beïnvloeden of te vermaken.",http://data.europa.eu/esco/skill/8f18f987-33e2-4228-9efb-65de25d03330 | http://data.europa.eu/esco/skill/S1.4.1,sociale interactie | presenteren van algemene informatie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/60c78287-22eb-4103-9c8c-28deaa460da0,skill/competence,transversal,in teams werken,in groepen werken,Vol vertrouwen werken binnen een groep waarin ieder zijn deel in dienst van het geheel stelt.,http://data.europa.eu/esco/skill/8f18f987-33e2-4228-9efb-65de25d03330 | http://data.europa.eu/esco/skill/S1.8.1,sociale interactie | werken in teams
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/611ed16b-99bf-4840-9cab-f55d1d286e0a,skill/competence,transversal,digitale gegevens en systemen opslaan,digitale data en systemen opslaan,"Softwaretools gebruiken voor de archivering van gegevens door gegevens te kopiëren en een back-up ervan te maken, om de integriteit ervan te waarborgen en verlies van gegevens te voorkomen.",http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a | http://data.europa.eu/esco/skill/S5.5.2 | http://data.europa.eu/esco/skill/4d97e3c3-f335-47cc-a4ee-0d779fd42222,"verwerking van digitale gegevens | beheren en analyseren van digitale gegevens | gegevens, informatie en digitale inhoud beheren"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6816e28f-a48d-41c7-8492-309f50c049fc,skill/competence,transversal,hygiënische werkpraktijken toepassen,,Voldoen aan de wet- en regelgeving en gedragscodes inzake hygiëne op het werk van de industrie.,http://data.europa.eu/esco/skill/6e1ac650-52a8-40b8-b1fc-fc5e582882f3 | http://data.europa.eu/esco/skill/S3.3.1,gezondheid en veiligheid | naleven van gezondheids- en veiligheidsprocedures
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/698be2d3-8768-422d-a2d3-1cb701816089,skill/competence,transversal,online informatie opzoeken,online zoeken naar informatie | online op zoek gaan naar informatie,Digitale informatie in kaart brengen via zoekmachines en de relevantie en het doel ervan beoordelen.,http://data.europa.eu/esco/skill/e439742d-558d-4f52-885e-afdc740b48cf | http://data.europa.eu/esco/skill/S5.5.1,"gegevens, informatie en digitale inhoud verkennen, zoeken en filteren | doorzoeken en filteren van digitale gegevens"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/699e7c26-6502-4e78-a823-3656ff5a5b8b,skill/competence,transversal,anderen onderwijzen,les geven aan anderen,Anderen begeleiden of onderwijzen door relevante kennis en ondersteuning te bieden.,http://data.europa.eu/esco/skill/8f18f987-33e2-4228-9efb-65de25d03330 | http://data.europa.eu/esco/skill/S1.3.0,sociale interactie | onderwijzen en opleiden
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6a12273a-d498-4b09-a235-365ce7474496,skill/competence,transversal,Google Search gebruiken,,"Digitale informatie in kaart brengen via de zoekmachine van Google, gelet op de relevantie en het doel ervan.",http://data.europa.eu/esco/skill/698be2d3-8768-422d-a2d3-1cb701816089 | http://data.europa.eu/esco/skill/S5.5.1,online informatie opzoeken | doorzoeken en filteren van digitale gegevens
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6e04cc9f-d409-49f0-9224-d9cb32e83631,skill/competence,transversal,anderen overtuigen,,"De overtuigingen, houdingen, intenties, beweegredenen of gedragingen van een persoon veranderen aan de hand van gemotiveerde argumenten.",http://data.europa.eu/esco/skill/S1.6.0 | http://data.europa.eu/esco/skill/8f18f987-33e2-4228-9efb-65de25d03330,"promoten, verkopen en inkopen | sociale interactie"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6efef9df-ac86-45ca-8b1b-a8178ef17b5c,skill/competence,transversal,locatie- en navigatieproblemen oplossen met een GPS,,"Toepassingen en apparatuur gebruiken die de gebruikers een nauwkeurige beoordeling geven van hun locatie met behulp van systemen van satellieten, zoals navigatiesystemen.",http://data.europa.eu/esco/skill/S5.6.1 | http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,gebruikmaken van digitale hulpmiddelen voor samenwerking en productiviteit | probleemoplossing met ICT-instrumenten en hardware
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/75d8e5d9-bef3-418b-9011-01bff9f27207,skill/competence,transversal,leiding geven aan anderen,,"Anderen naar een gemeenschappelijk doel begeleiden en leiden, vaak in een groep of team.",http://data.europa.eu/esco/skill/S4.5.0 | http://data.europa.eu/esco/skill/8f18f987-33e2-4228-9efb-65de25d03330,leiden en motiveren | sociale interactie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/75f839c2-fd9a-4ad3-8921-6e734608568d,skill/competence,transversal,querytalen gebruiken,,Informatie opvragen uit een databank of informatiesysteem met behulp van computertalen die zijn ontworpen voor het opvragen van gegevens.,http://data.europa.eu/esco/skill/4463a721-69f3-413d-8321-43e3af13a4f1 | http://data.europa.eu/esco/skill/S5.1.0,databases gebruiken | programmeren van computersystemen
